Well,NZB11 gCSC,nM Dex,Vehicle,Coating,Notes
A3,20000,0,No,Migration,No Chemoattractant
B3,20000,0,No,Migration,No Chemoattractant
C3,20000,0,Methanol,Migration,
D3,20000,100,Methanol,Migration,
E3,20000,0,Methanol,Migration,
F3,20000,0,Methanol,Invasion,
G3,20000,0,Methanol,Invasion,
H3,20000,0,Methanol,Invasion,
A4,20000,0,Methanol,Migration,No Chemoattractant
B4,0,0,Methanol,None,
C4,20000,0,Methanol,Migration,
D4,20000,100,Methanol,Migration,
E4,20000,100,Methanol,Migration,
F4,20000,100,Methanol,Invasion,
G4,20000,100,Methanol,Invasion,
H4,20000,100,Methanol,Invasion,
