Well,cells
A7,"35,000"
A8,"35,000"
A9,"35,000"
B7,"30,000"
B8,"30,000"
B9,"30,000"
C7,"25,000"
C8,"25,000"
C9,"25,000"
D7,"20,000"
D8,"20,000"
D9,"20,000"
E7,"15,000"
E8,"15,000"
E9,"15,000"
F7,"10,000"
F8,"10,000"
F9,"10,000"
G7,"5,000"
G8,"5,000"
G9,"5,000"
H7,0
H8,0
H9,0
