Well,Sample
A01,Grafton
A05,Grafton
A02,Grafton
A06,Grafton
A03,Grafton
A07,Grafton
A04,Grafton
A08,Grafton media only
B01,SBS
B05,SBS
B02,SBS
B06,SBS
B03,SBS
B07,SBS
B04,SBS
B08,SBS media only
