Well,Sample
A01,M119
A05,M119 + suppliments
A02,M199 + 10% Serum equivelent
A06,M199 + 1mg/ml BSA
A03,AIM-V
A07,100% Replacement
A04,50% Addition
A08,Media only
B01,M119
B05,M119 + suppliments
B02,M199 + 10% Serum equivelent
B06,M199 + 1mg/ml BSA
B03,AIM-V
B07,100% Replacement
B04,50% Addition
B08,Media only
