Well,pg/ml TNFa,pg/ml IL1b,Vehicle,HCMVEC
A1,500,,Water,80000
A2,500,,Water,80000
A3,500,,Water,80000
B1,,500,Water,80000
B2,,500,Water,80000
B3,,500,Water,80000
C1,,,Water,80000
C2,,,Water,80000
C3,,,Water,80000
E1,500,,Water,20000
E2,500,,Water,20000
E3,500,,Water,20000
F1,,500,Water,20000
F2,,500,Water,20000
F3,,500,Water,20000
G1,,,Water,20000
G2,,,Water,20000
G3,,,Water,20000
H1,,,Water,0
H2,,,Water,0
