Well,pg/ml TNFa,pg/ml IL1b,Vehicle,HCMVEC
A01,500,,Water,80000
A02,500,,Water,80000
A03,500,,Water,80000
B01,,500,Water,80000
B02,,500,Water,80000
B03,,500,Water,80000
C01,,,Water,80000
C02,,,Water,80000
C03,,,Water,80000
E01,500,,Water,20000
E02,500,,Water,20000
E03,500,,Water,20000
F01,,500,Water,20000
F02,,500,Water,20000
F03,,500,Water,20000
G01,,,Water,20000
G02,,,Water,20000
G03,,,Water,20000
H01,,,Water,0
H02,,,Water,0
