Well,Sample
A4,"35,000 cells"
A5,"35,000 cells"
A6,"35,000 cells"
B4,"30,000 cells"
B5,"30,000 cells"
B6,"30,000 cells"
C4,"25,000 cells"
C5,"25,000 cells"
C6,"25,000 cells"
D4,"20,000 cells"
D5,"20,000 cells"
D6,"20,000 cells"
E4,"15,000 cells"
E5,"15,000 cells"
E6,"15,000 cells"
F4,"10,000 cells"
F5,"10,000 cells"
F6,"10,000 cells"
G4,"05,000 cells"
G5,"05,000 cells"
G6,"05,000 cells"
H4,0 cells
H5,0 cells
H6,0 cells
