Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
278.26,62.68,-49.94
359.38,54.23,-46.73
464.16,47.30,-43.04
599.48,41.77,-39.09
774.26,37.41,-34.91
1000.00,34.06,-30.61
1291.55,31.54,-26.35
1668.10,29.68,-22.31
2154.43,28.33,-18.73
2782.56,27.34,-15.44
3593.81,26.63,-12.71
4641.59,26.15,-10.42
5994.84,25.74,-8.47
7742.64,25.51,-6.88
10000.00,25.29,-5.61
12915.50,25.16,-4.57
16681.01,25.03,-3.87
21544.35,24.95,-3.20
27825.59,24.90,-2.64
35938.14,24.87,-2.41
46415.89,24.63,-2.46
59948.43,24.62,-2.56
77426.37,24.59,-2.52
100000.00,24.49,-2.59


Well: C2 - MDCK II
Spectrum: Run.18 measured at 11/01/2008 11:45:45 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6952.35,-82.25
1.29,5521.57,-82.14
1.67,4351.79,-82.17
2.15,3429.80,-81.80
2.78,2706.65,-81.91
3.59,2131.99,-81.66
4.64,1684.64,-81.85
5.99,1342.06,-80.62
7.74,1060.63,-80.87
10.00,843.36,-79.86
12.92,658.55,-78.06
16.68,530.42,-77.15
21.54,420.73,-75.81
27.83,336.30,-74.30
35.94,269.21,-72.35
46.42,217.53,-70.23
59.95,176.75,-67.67
77.43,145.33,-64.95
100.00,120.91,-61.91
129.15,101.18,-58.98
166.81,85.69,-55.94
215.44,73.13,-52.95
278.26,62.76,-49.82
359.38,54.29,-46.55
464.16,47.37,-42.87
599.48,41.82,-38.94
774.26,37.48,-34.68
1000.00,34.15,-30.40
1291.55,31.63,-26.19
1668.10,29.79,-22.16
2154.43,28.47,-18.50
2782.56,27.53,-15.30
3593.81,26.82,-12.57
4641.59,26.34,-10.26
5994.84,25.93,-8.44
7742.64,25.65,-6.87
10000.00,25.47,-5.63
12915.50,25.31,-4.65
16681.01,25.23,-3.93
21544.35,25.08,-3.34
27825.59,25.07,-2.79
35938.14,24.93,-2.61
46415.89,24.74,-2.86
59948.43,24.64,-2.74
77426.37,24.57,-2.74
100000.00,24.55,-2.73


Well: C2 - MDCK II
Spectrum: Run.19 measured at 12/01/2008 12:18:58 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6966.82,-82.19
1.29,5529.38,-82.19
1.67,4321.52,-82.33
2.15,3415.92,-81.79
2.78,2733.04,-81.75
3.59,2149.37,-82.22
4.64,1691.05,-81.24
5.99,1326.11,-80.94
7.74,1030.72,-79.86
10.00,836.59,-78.83
12.92,658.08,-78.28
16.68,526.49,-77.13
21.54,420.47,-75.79
27.83,333.98,-74.27
35.94,268.68,-72.41
46.42,216.95,-70.10
59.95,176.70,-67.52
77.43,144.92,-64.85
100.00,120.62,-61.82
129.15,101.06,-58.85
166.81,85.59,-55.78
215.44,73.01,-52.76
278.26,62.65,-49.72
359.38,54.28,-46.36
464.16,47.38,-42.67
599.48,41.90,-38.71
774.26,37.58,-34.49
1000.00,34.24,-30.19
1291.55,31.75,-25.99
1668.10,29.95,-22.01
2154.43,28.53,-18.39
2782.56,27.64,-15.21
3593.81,26.93,-12.47
4641.59,26.45,-10.25
5994.84,26.07,-8.38
7742.64,25.79,-6.87
10000.00,25.60,-5.64
12915.50,25.44,-4.72
16681.01,25.33,-3.88
21544.35,25.20,-3.52
27825.59,25.14,-2.97
35938.14,25.04,-2.90
46415.89,24.83,-2.86
59948.43,24.73,-2.87
77426.37,24.62,-2.89
100000.00,24.44,-2.92


Well: C2 - MDCK II
Spectrum: Run.20 measured at 12/01/2008 12:52:11 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6947.33,-81.95
1.29,5505.49,-81.80
1.67,4327.84,-82.15
2.15,3408.94,-81.71
2.78,2703.65,-81.54
3.59,2124.69,-81.82
4.64,1682.55,-81.36
5.99,1348.11,-81.39
7.74,1051.31,-80.60
10.00,836.13,-79.45
12.92,667.39,-77.96
16.68,526.75,-77.25
21.54,419.91,-75.80
27.83,333.36,-74.22
35.94,269.07,-72.31
46.42,216.57,-69.95
59.95,176.39,-67.56
77.43,145.02,-64.67
100.00,120.45,-61.69
129.15,101.05,-58.69
166.81,85.55,-55.68
215.44,73.12,-52.62
278.26,62.76,-49.50
359.38,54.40,-46.07
464.16,47.52,-42.47
599.48,42.03,-38.45
774.26,37.78,-34.27
1000.00,34.47,-29.94
1291.55,31.99,-25.76
1668.10,30.11,-21.79
2154.43,28.86,-18.20
2782.56,27.91,-15.09
3593.81,27.19,-12.45
4641.59,26.67,-10.16
5994.84,26.33,-8.40
7742.64,26.05,-6.98
10000.00,25.85,-5.80
12915.50,25.66,-4.94
16681.01,25.53,-4.33
21544.35,25.38,-3.76
27825.59,25.29,-3.25
35938.14,25.14,-3.22
46415.89,24.89,-3.20
59948.43,24.75,-3.18
77426.37,24.56,-3.09
100000.00,24.52,-3.07


Well: C2 - MDCK II
Spectrum: Run.21 measured at 12/01/2008 1:25:24 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6927.51,-81.92
1.29,5458.21,-82.13
1.67,4290.95,-82.18
2.15,3412.65,-81.77
2.78,2677.49,-81.68
3.59,2123.67,-82.19
4.64,1681.96,-81.34
5.99,1322.25,-80.76
7.74,1044.31,-80.79
10.00,837.72,-78.89
12.92,663.11,-78.15
16.68,525.38,-77.51
21.54,418.25,-75.87
27.83,334.21,-74.27
35.94,269.24,-72.22
46.42,216.71,-70.02
59.95,176.38,-67.46
77.43,145.11,-64.64
100.00,120.37,-61.67
129.15,101.16,-58.52
166.81,85.60,-55.51
215.44,73.16,-52.44
278.26,62.90,-49.25
359.38,54.51,-45.82
464.16,47.69,-42.19
599.48,42.23,-38.19
774.26,37.94,-33.92
1000.00,34.72,-29.55
1291.55,32.28,-25.46
1668.10,30.46,-21.53
2154.43,29.18,-18.01
2782.56,28.18,-14.94
3593.81,27.54,-12.32
4641.59,27.04,-10.19
5994.84,26.64,-8.41
7742.64,26.37,-7.14
10000.00,26.14,-5.97
12915.50,25.93,-5.09
16681.01,25.75,-4.62
21544.35,25.57,-4.07
27825.59,25.45,-3.69
35938.14,25.24,-3.45
46415.89,24.96,-3.65
59948.43,24.82,-3.42
77426.37,24.61,-3.27
100000.00,24.52,-3.18


Well: C2 - MDCK II
Spectrum: Run.22 measured at 12/01/2008 1:58:37 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6892.61,-82.07
1.29,5476.61,-82.05
1.67,4320.91,-82.12
2.15,3411.71,-82.18
2.78,2705.70,-81.58
3.59,2133.39,-81.69
4.64,1680.67,-81.17
5.99,1331.02,-80.23
7.74,1054.20,-80.73
10.00,837.44,-78.97
12.92,662.57,-77.90
16.68,530.11,-77.04
21.54,418.05,-75.86
27.83,333.57,-74.16
35.94,268.09,-72.10
46.42,216.31,-69.90
59.95,176.09,-67.29
77.43,145.03,-64.41
100.00,120.49,-61.40
129.15,101.06,-58.39
166.81,85.66,-55.30
215.44,73.25,-52.22
278.26,63.04,-48.94
359.38,54.67,-45.51
464.16,47.89,-41.75
599.48,42.46,-37.73
774.26,38.28,-33.51
1000.00,35.08,-29.26
1291.55,32.64,-25.18
1668.10,30.85,-21.32
2154.43,29.59,-17.80
2782.56,28.58,-14.82
3593.81,27.89,-12.29
4641.59,27.41,-10.25
5994.84,27.00,-8.52
7742.64,26.72,-7.19
10000.00,26.46,-6.24
12915.50,26.25,-5.47
16681.01,25.99,-4.98
21544.35,25.76,-4.56
27825.59,25.55,-4.06
35938.14,25.33,-3.92
46415.89,25.00,-3.81
59948.43,24.77,-3.71
77426.37,24.64,-3.46
100000.00,24.42,-3.36


Well: C2 - MDCK II
Spectrum: Run.23 measured at 12/01/2008 2:31:50 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6899.15,-81.88
1.29,5456.87,-81.87
1.67,4291.43,-82.03
2.15,3378.20,-81.95
2.78,2689.63,-81.60
3.59,2116.20,-81.47
4.64,1671.52,-81.23
5.99,1311.46,-81.09
7.74,1045.06,-80.31
10.00,832.17,-78.62
12.92,660.75,-77.79
16.68,526.97,-76.99
21.54,418.77,-75.78
27.83,332.89,-74.22
35.94,267.74,-72.11
46.42,216.11,-69.77
59.95,175.97,-67.15
77.43,144.71,-64.32
100.00,120.19,-61.28
129.15,101.12,-58.17
166.81,85.70,-54.98
215.44,73.33,-51.80
278.26,63.17,-48.58
359.38,54.91,-45.06
464.16,48.19,-41.27
599.48,42.89,-37.22
774.26,38.68,-33.03
1000.00,35.53,-28.78
1291.55,33.15,-24.70
1668.10,31.40,-20.95
2154.43,30.10,-17.62
2782.56,29.17,-14.69
3593.81,28.45,-12.27
4641.59,27.89,-10.34
5994.84,27.51,-8.82
7742.64,27.17,-7.66
10000.00,26.83,-6.71
12915.50,26.58,-6.01
16681.01,26.25,-5.52
21544.35,25.94,-5.20
27825.59,25.69,-4.62
35938.14,25.41,-4.44
46415.89,25.06,-4.34
59948.43,24.78,-4.11
77426.37,24.56,-3.77
100000.00,24.45,-3.57


Well: C2 - MDCK II
Spectrum: Run.24 measured at 12/01/2008 3:05:03 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6898.30,-82.03
1.29,5445.47,-82.30
1.67,4294.05,-82.17
2.15,3401.33,-82.06
2.78,2655.02,-81.77
3.59,2109.82,-81.52
4.64,1674.30,-81.60
5.99,1320.27,-81.25
7.74,1042.83,-80.25
10.00,837.92,-78.52
12.92,664.84,-77.80
16.68,523.21,-77.07
21.54,415.85,-75.51
27.83,333.61,-73.90
35.94,267.33,-71.94
46.42,215.84,-69.60
59.95,176.38,-67.04
77.43,144.79,-64.10
100.00,120.33,-61.02
129.15,101.18,-57.86
166.81,85.85,-54.62
215.44,73.42,-51.46
278.26,63.33,-48.04
359.38,55.17,-44.42
464.16,48.57,-40.63
599.48,43.27,-36.58
774.26,39.19,-32.38
1000.00,36.08,-28.16
1291.55,33.75,-24.25
1668.10,31.98,-20.57
2154.43,30.74,-17.40
2782.56,29.77,-14.64
3593.81,29.07,-12.39
4641.59,28.51,-10.60
5994.84,28.08,-9.12
7742.64,27.67,-8.06
10000.00,27.29,-7.31
12915.50,26.91,-6.72
16681.01,26.47,-6.24
21544.35,26.12,-5.79
27825.59,25.75,-5.28
35938.14,25.37,-4.96
46415.89,25.02,-4.72
59948.43,24.72,-4.40
77426.37,24.52,-3.99
100000.00,24.37,-3.74


Well: C2 - MDCK II
Spectrum: Run.25 measured at 12/01/2008 3:38:16 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6891.59,-81.81
1.29,5440.34,-82.13
1.67,4314.42,-82.01
2.15,3386.18,-81.64
2.78,2692.41,-81.55
3.59,2133.49,-81.34
4.64,1667.87,-80.71
5.99,1319.57,-80.24
7.74,1040.28,-79.76
10.00,831.59,-78.85
12.92,657.33,-77.84
16.68,525.24,-77.10
21.54,417.26,-75.82
27.83,333.47,-73.92
35.94,267.14,-71.90
46.42,216.17,-69.50
59.95,176.52,-66.81
77.43,145.11,-63.86
100.00,120.57,-60.68
129.15,101.43,-57.55
166.81,86.09,-54.23
215.44,73.85,-50.93
278.26,63.80,-47.47
359.38,55.80,-43.75
464.16,49.23,-39.96
599.48,44.06,-35.80
774.26,40.05,-31.68
1000.00,36.99,-27.59
1291.55,34.67,-23.81
1668.10,32.95,-20.34
2154.43,31.66,-17.30
2782.56,30.67,-14.75
3593.81,29.92,-12.69
4641.59,29.35,-11.05
5994.84,28.80,-9.70
7742.64,28.31,-8.86
10000.00,27.82,-8.21
12915.50,27.31,-7.69
16681.01,26.82,-7.12
21544.35,26.25,-6.57
27825.59,25.85,-5.93
35938.14,25.45,-5.47
46415.89,25.03,-5.18
59948.43,24.77,-4.67
77426.37,24.51,-4.17
100000.00,24.37,-3.94


Well: C2 - MDCK II
Spectrum: Run.26 measured at 12/01/2008 4:11:29 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6902.70,-82.00
1.29,5444.94,-82.03
1.67,4300.38,-81.99
2.15,3400.26,-81.86
2.78,2690.78,-81.64
3.59,2109.04,-81.44
4.64,1652.79,-81.79
5.99,1315.83,-80.71
7.74,1042.12,-81.01
10.00,830.35,-79.11
12.92,652.45,-78.05
16.68,522.85,-76.76
21.54,416.53,-75.31
27.83,333.70,-73.73
35.94,267.10,-71.55
46.42,216.39,-69.20
59.95,176.25,-66.48
77.43,145.04,-63.49
100.00,120.52,-60.37
129.15,101.63,-57.01
166.81,86.45,-53.64
215.44,74.23,-50.18
278.26,64.37,-46.58
359.38,56.39,-42.88
464.16,50.00,-38.99
599.48,44.93,-34.95
774.26,41.00,-30.87
1000.00,38.01,-27.03
1291.55,35.76,-23.31
1668.10,33.96,-20.11
2154.43,32.70,-17.32
2782.56,31.65,-14.98
3593.81,30.88,-13.08
4641.59,30.19,-11.64
5994.84,29.52,-10.57
7742.64,28.89,-9.77
10000.00,28.25,-9.16
12915.50,27.60,-8.59
16681.01,26.96,-8.09
21544.35,26.40,-7.45
27825.59,25.94,-6.58
35938.14,25.48,-5.95
46415.89,24.97,-5.62
59948.43,24.70,-4.96
77426.37,24.41,-4.49
100000.00,24.30,-4.00


Well: C2 - MDCK II
Spectrum: Run.27 measured at 12/01/2008 4:44:42 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6905.50,-82.16
1.29,5440.54,-82.24
1.67,4303.00,-81.93
2.15,3401.82,-81.90
2.78,2680.41,-82.06
3.59,2108.88,-81.57
4.64,1685.95,-80.97
5.99,1329.66,-81.14
7.74,1040.92,-79.88
10.00,830.38,-78.77
12.92,656.21,-77.62
16.68,522.93,-76.49
21.54,416.95,-75.21
27.83,332.05,-73.55
35.94,267.33,-71.34
46.42,216.19,-69.10
59.95,175.97,-66.14
77.43,145.32,-63.13
100.00,121.00,-59.74
129.15,102.05,-56.40
166.81,86.96,-52.95
215.44,74.94,-49.36
278.26,65.20,-45.67
359.38,57.29,-41.86
464.16,51.06,-37.95
599.48,46.13,-33.99
774.26,42.34,-30.08
1000.00,39.35,-26.39
1291.55,37.04,-23.00
1668.10,35.32,-19.96
2154.43,33.97,-17.40
2782.56,32.91,-15.33
3593.81,32.01,-13.76
4641.59,31.15,-12.53
5994.84,30.37,-11.64
7742.64,29.52,-10.95
10000.00,28.72,-10.35
12915.50,27.91,-9.76
16681.01,27.11,-9.07
21544.35,26.44,-8.22
27825.59,25.90,-7.30
35938.14,25.41,-6.50
46415.89,24.92,-5.92
59948.43,24.58,-5.25
77426.37,24.42,-4.67
100000.00,24.28,-4.18


Well: C2 - MDCK II
Spectrum: Run.28 measured at 12/01/2008 5:17:55 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6881.21,-82.18
1.29,5434.34,-81.77
1.67,4283.39,-81.67
2.15,3395.54,-82.02
2.78,2656.76,-81.51
3.59,2105.85,-81.39
4.64,1664.15,-81.81
5.99,1311.55,-80.62
7.74,1038.42,-80.68
10.00,829.64,-78.33
12.92,654.49,-77.44
16.68,520.26,-76.26
21.54,415.22,-74.98
27.83,332.95,-73.12
35.94,266.94,-71.09
46.42,216.04,-68.53
59.95,176.58,-65.78
77.43,145.59,-62.58
100.00,121.77,-59.20
129.15,102.65,-55.72
166.81,87.60,-52.06
215.44,75.75,-48.44
278.26,66.11,-44.64
359.38,58.48,-40.72
464.16,52.37,-36.83
599.48,47.62,-32.98
774.26,43.81,-29.25
1000.00,40.89,-25.84
1291.55,38.66,-22.67
1668.10,36.85,-20.00
2154.43,35.39,-17.72
2782.56,34.19,-15.93
3593.81,33.15,-14.65
4641.59,32.16,-13.58
5994.84,31.20,-12.92
7742.64,30.18,-12.38
10000.00,29.11,-11.72
12915.50,28.11,-10.94
16681.01,27.24,-10.17
21544.35,26.46,-9.14
27825.59,25.90,-8.00
35938.14,25.34,-6.96
46415.89,24.87,-6.40
59948.43,24.56,-5.60
77426.37,24.32,-4.89
100000.00,24.20,-4.26


Well: C2 - MDCK II
Spectrum: Run.29 measured at 12/01/2008 5:51:08 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6880.83,-81.93
1.29,5440.86,-81.97
1.67,4283.40,-81.80
2.15,3388.09,-82.03
2.78,2657.42,-81.54
3.59,2123.01,-81.67
4.64,1666.04,-81.30
5.99,1313.07,-80.54
7.74,1052.61,-80.04
10.00,834.41,-79.23
12.92,658.68,-77.94
16.68,525.04,-76.40
21.54,416.21,-74.93
27.83,334.01,-72.98
35.94,268.36,-70.81
46.42,216.93,-68.33
59.95,177.04,-65.27
77.43,146.61,-61.96
100.00,122.34,-58.41
129.15,103.84,-54.76
166.81,88.82,-51.00
215.44,77.05,-47.16
278.26,67.73,-43.31
359.38,60.21,-39.44
464.16,54.23,-35.59
599.48,49.59,-31.93
774.26,45.80,-28.47
1000.00,42.87,-25.24
1291.55,40.54,-22.47
1668.10,38.67,-20.00
2154.43,37.17,-18.12
2782.56,35.82,-16.69
3593.81,34.59,-15.64
4641.59,33.35,-14.95
5994.84,32.08,-14.33
7742.64,30.85,-13.86
10000.00,29.54,-13.03
12915.50,28.43,-12.08
16681.01,27.34,-11.08
21544.35,26.56,-9.87
27825.59,25.88,-8.54
35938.14,25.34,-7.49
46415.89,24.81,-6.61
59948.43,24.49,-5.70
77426.37,24.36,-4.95
100000.00,24.17,-4.29


Well: C2 - MDCK II
Spectrum: Run.30 measured at 12/01/2008 6:24:22 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6863.88,-81.72
1.29,5435.01,-82.00
1.67,4272.15,-82.11
2.15,3378.27,-81.46
2.78,2660.85,-81.56
3.59,2116.82,-81.74
4.64,1677.81,-81.05
5.99,1320.34,-80.62
7.74,1025.30,-79.12
10.00,831.63,-79.05
12.92,657.16,-77.23
16.68,520.68,-76.37
21.54,416.01,-74.56
27.83,332.82,-72.71
35.94,267.57,-70.24
46.42,217.09,-67.69
59.95,177.64,-64.52
77.43,147.01,-61.20
100.00,123.31,-57.55
129.15,104.61,-53.77
166.81,90.03,-49.87
215.44,78.48,-45.94
278.26,69.24,-42.01
359.38,62.02,-38.14
464.16,56.26,-34.43
599.48,51.62,-30.94
774.26,47.98,-27.76
1000.00,44.96,-24.94
1291.55,42.66,-22.41
1668.10,40.67,-20.36
2154.43,38.99,-18.86
2782.56,37.48,-17.61
3593.81,35.97,-16.93
4641.59,34.44,-16.50
5994.84,32.87,-15.96
7742.64,31.29,-15.35
10000.00,29.81,-14.49
12915.50,28.48,-13.28
16681.01,27.37,-12.06
21544.35,26.46,-10.59
27825.59,25.82,-8.99
35938.14,25.22,-7.85
46415.89,24.74,-6.91
59948.43,24.46,-5.91
77426.37,24.25,-5.02
100000.00,24.13,-4.39


Well: C2 - MDCK II
Spectrum: Run.31 measured at 12/01/2008 6:57:35 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6861.24,-81.74
1.29,5410.57,-81.98
1.67,4262.10,-81.92
2.15,3387.08,-82.04
2.78,2703.11,-81.13
3.59,2100.13,-80.91
4.64,1670.47,-81.39
5.99,1303.92,-80.41
7.74,1046.28,-79.71
10.00,830.46,-78.38
12.92,653.39,-77.13
16.68,521.81,-75.78
21.54,416.28,-74.35
27.83,332.92,-72.50
35.94,268.68,-70.04
46.42,218.00,-67.10
59.95,179.03,-63.75
77.43,148.16,-60.44
100.00,124.74,-56.57
129.15,106.07,-52.72
166.81,91.68,-48.65
215.44,80.36,-44.66
278.26,71.40,-40.69
359.38,64.34,-36.98
464.16,58.74,-33.41
599.48,54.17,-30.13
774.26,50.46,-27.19
1000.00,47.55,-24.72
1291.55,45.04,-22.59
1668.10,42.96,-20.92
2154.43,41.07,-19.70
2782.56,39.29,-19.02
3593.81,37.41,-18.56
4641.59,35.58,-18.31
5994.84,33.66,-17.81
7742.64,31.78,-17.13
10000.00,30.07,-15.95
12915.50,28.60,-14.63
16681.01,27.41,-13.03
21544.35,26.51,-11.32
27825.59,25.80,-9.70
35938.14,25.20,-8.22
46415.89,24.75,-7.27
59948.43,24.45,-6.21
77426.37,24.27,-5.25
100000.00,24.17,-4.58


Well: C2 - MDCK II
Spectrum: Run.32 measured at 12/01/2008 7:30:48 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6852.51,-82.11
1.29,5419.20,-82.15
1.67,4268.21,-81.83
2.15,3403.75,-81.87
2.78,2685.62,-81.49
3.59,2109.65,-81.30
4.64,1650.57,-81.37
5.99,1314.83,-80.26
7.74,1044.41,-80.47
10.00,829.18,-78.11
12.92,654.74,-76.63
16.68,521.54,-75.35
21.54,416.29,-73.82
27.83,335.03,-71.97
35.94,269.69,-69.29
46.42,218.91,-66.38
59.95,180.40,-63.13
77.43,149.92,-59.36
100.00,126.18,-55.48
129.15,108.14,-51.32
166.81,93.90,-47.15
215.44,82.69,-43.15
278.26,74.03,-39.26
359.38,67.19,-35.57
464.16,61.65,-32.21
599.48,57.21,-29.22
774.26,53.47,-26.59
1000.00,50.41,-24.52
1291.55,47.81,-22.74
1668.10,45.56,-21.51
2154.43,43.37,-20.80
2782.56,41.20,-20.39
3593.81,39.03,-20.24
4641.59,36.72,-20.11
5994.84,34.44,-19.59
7742.64,32.11,-18.70
10000.00,30.25,-17.43
12915.50,28.59,-15.78
16681.01,27.33,-13.90
21544.35,26.33,-12.00
27825.59,25.65,-10.04
35938.14,25.14,-8.55
46415.89,24.62,-7.29
59948.43,24.31,-6.23
77426.37,24.22,-5.26
100000.00,24.07,-4.51


Well: C2 - MDCK II
Spectrum: Run.33 measured at 12/01/2008 8:04:01 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6825.27,-81.88
1.29,5403.39,-81.79
1.67,4266.23,-82.07
2.15,3376.61,-82.04
2.78,2641.79,-81.43
3.59,2084.39,-81.20
4.64,1663.58,-80.61
5.99,1316.20,-80.37
7.74,1043.48,-79.89
10.00,829.52,-77.35
12.92,661.20,-76.63
16.68,522.41,-75.33
21.54,418.00,-73.51
27.83,334.92,-71.06
35.94,270.45,-68.55
46.42,220.63,-65.48
59.95,181.77,-62.01
77.43,151.33,-58.16
100.00,127.93,-54.08
129.15,110.30,-49.88
166.81,96.45,-45.70
215.44,85.55,-41.65
278.26,76.94,-37.72
359.38,70.32,-34.25
464.16,64.91,-31.15
599.48,60.46,-28.48
774.26,56.79,-26.26
1000.00,53.58,-24.48
1291.55,50.81,-23.24
1668.10,48.27,-22.46
2154.43,45.75,-22.15
2782.56,43.17,-22.11
3593.81,40.48,-22.21
4641.59,37.68,-22.08
5994.84,34.98,-21.53
7742.64,32.43,-20.40
10000.00,30.29,-18.76
12915.50,28.60,-16.82
16681.01,27.28,-14.67
21544.35,26.24,-12.56
27825.59,25.56,-10.45
35938.14,25.03,-8.73
46415.89,24.53,-7.46
59948.43,24.29,-6.24
77426.37,24.15,-5.20
100000.00,24.04,-4.54


Well: C2 - MDCK II
Spectrum: Run.34 measured at 12/01/2008 8:37:14 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6857.61,-81.69
1.29,5417.55,-81.77
1.67,4249.50,-81.90
2.15,3350.31,-81.51
2.78,2649.68,-81.26
3.59,2102.06,-81.17
4.64,1642.96,-80.82
5.99,1302.34,-79.96
7.74,1057.87,-79.45
10.00,827.52,-77.91
12.92,654.69,-76.43
16.68,525.02,-75.30
21.54,417.69,-72.83
27.83,336.53,-70.70
35.94,272.07,-67.85
46.42,221.98,-64.55
59.95,183.44,-60.95
77.43,153.98,-56.87
100.00,130.86,-52.70
129.15,113.24,-48.32
166.81,99.64,-44.10
215.44,89.05,-40.12
278.26,80.71,-36.38
359.38,74.08,-33.04
464.16,68.87,-30.20
599.48,64.42,-27.84
774.26,60.72,-26.07
1000.00,57.40,-24.72
1291.55,54.29,-23.96
1668.10,51.36,-23.66
2154.43,48.38,-23.83
2782.56,45.26,-24.15
3593.81,42.01,-24.40
4641.59,38.67,-24.31
5994.84,35.50,-23.59
7742.64,32.69,-22.11
10000.00,30.40,-20.16
12915.50,28.59,-17.84
16681.01,27.19,-15.58
21544.35,26.17,-13.16
27825.59,25.53,-10.87
35938.14,24.96,-9.04
46415.89,24.53,-7.66
59948.43,24.27,-6.36
77426.37,24.13,-5.39
100000.00,24.02,-4.64


Well: C2 - MDCK II
Spectrum: Run.35 measured at 12/01/2008 9:10:28 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6828.66,-81.62
1.29,5399.20,-81.75
1.67,4259.49,-81.74
2.15,3374.76,-81.28
2.78,2680.13,-81.28
3.59,2090.29,-81.02
4.64,1660.28,-80.50
5.99,1300.37,-79.94
7.74,1030.65,-79.09
10.00,830.13,-77.67
12.92,662.37,-75.34
16.68,524.58,-74.12
21.54,420.14,-71.89
27.83,338.02,-69.78
35.94,273.57,-66.70
46.42,224.52,-63.37
59.95,185.59,-59.50
77.43,156.59,-55.30
100.00,133.95,-51.00
129.15,116.74,-46.67
166.81,103.27,-42.45
215.44,93.04,-38.48
278.26,84.89,-34.90
359.38,78.50,-31.87
464.16,73.24,-29.31
599.48,68.77,-27.33
774.26,64.95,-25.97
1000.00,61.32,-25.23
1291.55,57.98,-24.90
1668.10,54.57,-25.08
2154.43,51.00,-25.58
2782.56,47.24,-26.26
3593.81,43.26,-26.68
4641.59,39.37,-26.50
5994.84,35.80,-25.52
7742.64,32.80,-23.66
10000.00,30.32,-21.42
12915.50,28.43,-18.82
16681.01,27.03,-16.10
21544.35,26.00,-13.59
27825.59,25.39,-11.08
35938.14,24.83,-9.21
46415.89,24.41,-7.81
59948.43,24.15,-6.45
77426.37,24.06,-5.45
100000.00,24.01,-4.57


Well: C2 - MDCK II
Spectrum: Run.36 measured at 12/01/2008 9:43:41 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6802.43,-82.04
1.29,5410.09,-81.69
1.67,4261.23,-81.47
2.15,3371.55,-81.22
2.78,2650.57,-81.33
3.59,2095.82,-80.73
4.64,1664.78,-80.74
5.99,1310.14,-79.19
7.74,1050.57,-78.81
10.00,830.47,-76.38
12.92,652.83,-74.95
16.68,523.59,-73.31
21.54,419.79,-71.34
27.83,339.22,-68.84
35.94,275.51,-65.63
46.42,226.36,-62.06
59.95,188.42,-58.03
77.43,159.69,-53.86
100.00,137.28,-49.41
129.15,120.70,-45.10
166.81,107.61,-40.85
215.44,97.70,-36.98
278.26,89.79,-33.60
359.38,83.56,-30.81
464.16,78.30,-28.65
599.48,73.71,-27.13
774.26,69.65,-26.27
1000.00,65.83,-25.96
1291.55,61.99,-26.20
1668.10,57.90,-26.86
2154.43,53.67,-27.78
2782.56,49.09,-28.65
3593.81,44.45,-29.09
4641.59,39.96,-28.73
5994.84,36.07,-27.46
7742.64,32.78,-25.29
10000.00,30.21,-22.62
12915.50,28.32,-19.66
16681.01,26.91,-16.75
21544.35,25.90,-13.96
27825.59,25.29,-11.44
35938.14,24.75,-9.44
46415.89,24.32,-7.88
59948.43,24.09,-6.45
77426.37,24.02,-5.45
100000.00,23.91,-4.77


Well: C2 - MDCK II
Spectrum: Run.37 measured at 12/01/2008 10:16:55 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6811.79,-81.86
1.29,5399.47,-81.52
1.67,4254.80,-81.58
2.15,3373.02,-80.99
2.78,2663.38,-81.46
3.59,2101.41,-80.69
4.64,1669.11,-79.83
5.99,1324.22,-79.30
7.74,1034.59,-79.33
10.00,829.86,-76.80
12.92,656.58,-74.41
16.68,524.78,-73.03
21.54,421.40,-70.46
27.83,341.52,-67.75
