Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
464.16,52.08,-44.25
599.48,45.65,-40.55
774.26,40.64,-36.48
1000.00,36.78,-32.14
1291.55,33.83,-27.92
1668.10,31.66,-23.70
2154.43,30.02,-19.93
2782.56,28.88,-16.54
3593.81,27.99,-13.62
4641.59,27.45,-10.99
5994.84,27.03,-8.86
7742.64,26.72,-7.08
10000.00,26.48,-5.73
12915.50,26.35,-4.60
16681.01,26.21,-3.65
21544.35,26.13,-3.03
27825.59,26.17,-2.25
35938.14,26.09,-2.06
46415.89,25.95,-1.99
59948.43,26.00,-1.90
77426.37,26.00,-1.80
100000.00,26.03,-1.87


Well: C1 - MDCK II
Spectrum: Run.6 measured at 11/01/2008 5:04:01 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7416.34,-81.74
1.29,5875.88,-81.82
1.67,4641.89,-81.84
2.15,3667.75,-81.61
2.78,2907.95,-81.79
3.59,2283.50,-81.03
4.64,1803.39,-80.72
5.99,1442.33,-79.53
7.74,1136.96,-79.74
10.00,912.01,-78.63
12.92,724.30,-77.68
16.68,575.75,-76.28
21.54,460.47,-75.38
27.83,367.10,-73.80
35.94,295.71,-71.84
46.42,238.89,-69.61
59.95,194.51,-67.23
77.43,160.72,-64.61
100.00,133.53,-61.88
129.15,112.10,-59.05
166.81,94.70,-56.33
215.44,80.65,-53.55
278.26,69.04,-50.76
359.38,59.47,-47.65
464.16,51.63,-44.26
599.48,45.31,-40.48
774.26,40.33,-36.39
1000.00,36.50,-32.03
1291.55,33.60,-27.80
1668.10,31.38,-23.69
2154.43,29.87,-19.78
2782.56,28.67,-16.43
3593.81,27.88,-13.49
4641.59,27.29,-10.99
5994.84,26.86,-8.77
7742.64,26.48,-7.04
10000.00,26.31,-5.66
12915.50,26.14,-4.53
16681.01,25.98,-3.66
21544.35,25.92,-3.04
27825.59,25.94,-2.30
35938.14,25.90,-1.99
46415.89,25.83,-1.92
59948.43,25.80,-1.80
77426.37,25.78,-1.79
100000.00,25.79,-1.92


Well: C1 - MDCK II
Spectrum: Run.7 measured at 11/01/2008 5:37:15 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7385.47,-81.63
1.29,5871.84,-81.85
1.67,4643.68,-81.61
2.15,3665.10,-81.54
2.78,2890.70,-81.23
3.59,2271.20,-81.19
4.64,1799.35,-80.34
5.99,1443.07,-80.30
7.74,1139.35,-79.75
10.00,900.40,-79.77
12.92,716.69,-77.69
16.68,569.50,-76.36
21.54,456.69,-75.53
27.83,363.32,-73.64
35.94,293.25,-71.75
46.42,237.34,-69.56
59.95,193.38,-67.26
77.43,159.36,-64.53
100.00,132.58,-61.83
129.15,111.25,-59.11
166.81,94.17,-56.36
215.44,80.14,-53.65
278.26,68.61,-50.69
359.38,59.10,-47.67
464.16,51.31,-44.22
599.48,45.09,-40.41
774.26,40.15,-36.30
1000.00,36.29,-32.03
1291.55,33.40,-27.71
1668.10,31.25,-23.62
2154.43,29.69,-19.79
2782.56,28.53,-16.47
3593.81,27.76,-13.43
4641.59,27.12,-10.96
5994.84,26.69,-8.84
7742.64,26.42,-7.17
10000.00,26.23,-5.71
12915.50,26.03,-4.57
16681.01,25.88,-3.64
21544.35,25.84,-3.02
27825.59,25.84,-2.44
35938.14,25.82,-2.30
46415.89,25.73,-2.00
59948.43,25.66,-2.00
77426.37,25.63,-1.82
100000.00,25.69,-1.97


Well: C1 - MDCK II
Spectrum: Run.8 measured at 11/01/2008 6:10:36 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7332.84,-81.49
1.29,5812.94,-81.84
1.67,4580.85,-81.47
2.15,3616.33,-81.58
2.78,2865.23,-81.33
3.59,2276.90,-80.73
4.64,1796.77,-81.27
5.99,1419.28,-80.30
7.74,1120.16,-79.73
10.00,898.32,-79.34
12.92,709.76,-77.58
16.68,562.14,-76.40
21.54,452.02,-75.43
27.83,361.27,-73.79
35.94,291.68,-71.81
46.42,235.52,-69.61
59.95,192.46,-67.18
77.43,158.95,-64.55
100.00,132.04,-61.86
129.15,110.90,-59.12
166.81,93.65,-56.37
215.44,79.82,-53.57
278.26,68.45,-50.75
359.38,58.84,-47.66
464.16,51.15,-44.18
599.48,44.92,-40.38
774.26,40.01,-36.31
1000.00,36.20,-32.07
1291.55,33.32,-27.72
1668.10,31.16,-23.65
2154.43,29.64,-19.86
2782.56,28.49,-16.44
3593.81,27.71,-13.50
4641.59,27.10,-11.03
5994.84,26.69,-8.95
7742.64,26.40,-7.20
10000.00,26.20,-5.82
