Well,cells,line
A1,"35,000",HCMEC D3
A2,"35,000",HCMEC D3
A3,"35,000",HCMEC D3
B1,"30,000",HCMEC D3
B2,"30,000",HCMEC D3
B3,"30,000",HCMEC D3
C1,"25,000",HCMEC D3
C2,"25,000",HCMEC D3
C3,"25,000",HCMEC D3
D1,"20,000",HCMEC D3
D2,"20,000",HCMEC D3
D3,"20,000",HCMEC D3
E1,"15,000",HCMEC D3
E2,"15,000",HCMEC D3
E3,"15,000",HCMEC D3
F1,"10,000",HCMEC D3
F2,"10,000",HCMEC D3
F3,"10,000",HCMEC D3
G1,"5,000",HCMEC D3
G2,"5,000",HCMEC D3
G3,"5,000",HCMEC D3
H1,0,HCMEC D3
H2,0,HCMEC D3
H3,0,HCMEC D3
