Well,cells,line
A4,"35,000",HCMEC D3
A5,"35,000",HCMEC D3
A6,"35,000",HCMEC D3
B4,"30,000",HCMEC D3
B5,"30,000",HCMEC D3
B6,"30,000",HCMEC D3
C4,"25,000",HCMEC D3
C5,"25,000",HCMEC D3
C6,"25,000",HCMEC D3
D4,"20,000",HCMEC D3
D5,"20,000",HCMEC D3
D6,"20,000",HCMEC D3
E4,"15,000",HCMEC D3
E5,"15,000",HCMEC D3
E6,"15,000",HCMEC D3
F4,"10,000",HCMEC D3
F5,"10,000",HCMEC D3
F6,"10,000",HCMEC D3
G4,"5,000",HCMEC D3
G5,"5,000",HCMEC D3
G6,"5,000",HCMEC D3
H4,0,HCMEC D3
H5,0,HCMEC D3
H6,0,HCMEC D3
