Well,cells
A1,"35,000"
A2,"35,000"
A3,"35,000"
B1,"30,000"
B2,"30,000"
B3,"30,000"
C1,"25,000"
C2,"25,000"
C3,"25,000"
D1,"20,000"
D2,"20,000"
D3,"20,000"
E1,"15,000"
E2,"15,000"
E3,"15,000"
F1,"10,000"
F2,"10,000"
F3,"10,000"
G1,"5,000"
G2,"5,000"
G3,"5,000"
H1,0
H2,0
H3,0
