Well,Sample
A1,"35,000 cells"
A2,"35,000 cells"
A3,"35,000 cells"
B1,"30,000 cells"
B2,"30,000 cells"
B3,"30,000 cells"
C1,"25,000 cells"
C2,"25,000 cells"
C3,"25,000 cells"
D1,"20,000 cells"
D2,"20,000 cells"
D3,"20,000 cells"
E1,"15,000 cells"
E2,"15,000 cells"
E3,"15,000 cells"
F1,"10,000 cells"
F2,"10,000 cells"
F3,"10,000 cells"
G1,"05,000 cells"
G2,"05,000 cells"
G3,"05,000 cells"
H1,0 cells
H2,0 cells
H3,0 cells
