Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A1, A1, A1, A1, A1,B1, B1, B1, B1, B1,C1, C1, C1, C1, C1,D1, D1, D1, D1, D1,E1, E1, E1, E1, E1,F1, F1, F1, F1, F1,G1, G1, G1, G1, G1,A2, A2, A2, A2, A2,B2, B2, B2, B2, B2,C2, C2, C2, C2, C2,D2, D2, D2, D2, D2,E2, E2, E2, E2, E2,F2, F2, F2, F2, F2,G2, G2, G2, G2, G2,A3, A3, A3, A3, A3,B3, B3, B3, B3, B3,C3, C3, C3, C3, C3,D3, D3, D3, D3, D3,E3, E3, E3, E3, E3,F3, F3, F3, F3, F3,G3, G3, G3, G3, G3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1000,-0.83,0.02,0,0,1000,-0.75,0,0,0,1000,-0.79,0,0,0,1000,-0.72,0,0,0.03,0,0.14,0,0.01,0.01,0,0.12,0,0,0.07,0.02,-0.24,0,0,0,1000,-0.39,0.01,0,0,1000,-0.02,0,0,0,1000,-0.49,0,0,0,0,-0.21,0,0.01,0.13,0,0.64,0,0.01,0.03,0,0.65,0,0.01,0.1,0,0.09,0,0,0,1000,0.19,0.01,0,0,1000,0.51,0.01,0,0,1000,0.31,0.01,0,0,1000,0.79,0.01,0,0,1000,1.14,0,0,0.01,1000,1.43,0,0,0,1000,0.72,0,
0.05,0,0,1000,-0.61,0.02,0,0,1000,-0.59,0.01,0,0,1000,-0.73,0.01,0,0,1000,-0.66,0,0,0,1000,0.21,0,0,0,1000,0.17,0,0,0,1000,-0.18,0,0,0,1000,-0.27,0,0,0,1000,0.05,0,0,0,1000,-0.45,0,0,0,1000,-0.2,0,0,0,136.29,0.68,0,0.01,0.08,70.91,0.62,0,0,0.11,0,0.11,0,0,0,1000,0.26,0.01,0,0,1000,0.5,0.01,0,0,1000,0.31,0,0,0,1000,0.75,0,0,0,1000,1.1,0,0,0,1000,1.37,0,0,0,1000,0.7,0,
0.1,0,0,1000,-0.42,0.02,0,0,1000,-0.45,0.01,0,0,1000,-0.66,0.01,0,0,1000,-0.6,0.01,0,0,1000,0.28,0,0,0,1000,0.21,0,0,0,1000,-0.12,0,0,0,1000,-0.15,0.01,0,0,1000,0.12,0.01,0,0,1000,-0.4,0,0,0,1000,-0.2,0,0,0,769.3,0.72,0,0,0.2,352.36,0.6,0,0,0.08,380.53,0.14,0,0,0,1000,0.34,0.01,0,0,1000,0.49,0.01,0,0,1000,0.31,0,0,0,1000,0.71,0,0,0,1000,1.07,0,0,0,1000,1.31,0,0,0.07,366.65,0.67,0,
0.15,0,0,1000,-0.42,0.02,0.09,0.01,934.86,-0.44,0,0,0,1000,-0.66,0.01,0,0,1000,-0.59,0.01,0,0,1000,0.3,0.01,0,0,1000,0.21,0,0,0,1000,-0.11,0,0.1,0.13,662.54,-0.12,0,0.09,0.18,818.79,0.12,0,0,0.01,943.39,-0.39,0.01,0,0,1000,-0.2,0.01,0,0,910.41,0.75,0.01,0,0,1000,0.58,0,0,0,1000,0.15,0,0,0,907.1,0.4,0.01,0,0,1000,0.49,0.01,0,0,1000,0.33,0.01,0,0,1000,0.69,0.01,0,0,1000,1.05,0.01,0,0,1000,1.27,0,0,0.01,666.84,0.67,0,
0.2,0.17,0.08,610.67,-0.42,0.01,0.14,0.02,525.79,-0.41,0,0,0,804.14,-0.62,0.01,0,0,1000,-0.54,0.01,0,0,958.97,0.36,0.01,0,0,1000,0.26,0,0,0,1000,-0.07,0,0.17,0.01,370.59,-0.1,0,0.15,0.01,489.2,0.12,0,0,0.01,564.39,-0.36,0.01,0,0.87,613.65,-0.15,0,0,0,799.21,0.79,0.01,0,0,1000,0.61,0,0,0,1000,0.18,0,0.15,0.04,502.61,0.39,0,0.13,0.05,591.41,0.46,0,0.1,0.05,751.97,0.31,0,0.07,0.11,862.84,0.68,0,0,0.01,893.59,1.04,0.01,0,0,1000,1.26,0.01,0,0,1000,0.67,0,
0.25,0,0,1000,-0.44,0.02,0.19,0.19,364.55,-0.41,0,0,0.01,556.1,-0.6,0.02,0,0,892.07,-0.51,0.01,0,0.87,580.39,0.4,0,0,0,1000,0.29,0.01,0,0,1000,-0.06,0,0,0,259.83,-0.12,0.03,0,0,352.88,0.1,0.02,0,0.01,408.92,-0.36,0.02,0.13,0.03,590.46,-0.14,0,0,0.88,523.41,0.81,0,0,0,1000,0.62,0.01,0,0,1000,0.19,0,0,0,355.87,0.36,0.02,0.18,0.03,429.72,0.44,0,0,0.01,545.24,0.31,0.01,0.11,0.01,640.83,0.69,0,0.1,0.08,719.58,1.04,0,0,0,974.87,1.26,0.01,0,0,1000,0.68,0,
0.3,0,0,1000,-0.46,0.03,0,1.44,218.43,-0.43,0,0.2,0.2,424.77,-0.61,0,0,0,692.97,-0.5,0.01,0,0,605.43,0.41,0.01,0,0,1000,0.3,0.01,0,0,1000,-0.05,0,0,1.59,156.4,-0.14,0,0,1.5,216.87,0.09,0,0,0,330.42,-0.36,0.02,0,0.01,488.62,-0.13,0.02,0,0,591.43,0.83,0.01,0,0,1000,0.64,0.01,0,0,1000,0.21,0,0,1.46,215.81,0.33,0,0,0,344.5,0.41,0.02,0.18,0.05,429.35,0.3,0,0.14,0.02,522.74,0.69,0,0,0.01,609.99,1.03,0.01,0,0,864.63,1.26,0.01,0,0,1000,0.69,0,
0.35,0,1.67,207.52,-0.47,0.01,0,1.57,181.78,-0.44,0,0,1.42,273.85,-0.6,0,0,0.01,572.96,-0.49,0.02,0.13,0.03,521.52,0.43,0,0,0,1000,0.32,0.01,0,0,1000,-0.04,0,0,1.75,131.36,-0.16,0,0,1.64,182.81,0.08,0,0,1.49,217.83,-0.37,0,0,1.3,325.61,-0.12,0,0,0.01,527.82,0.85,0.02,0,0,1000,0.65,0.01,0,0,1000,0.23,0,0,1.61,178.41,0.3,0,0,1.49,227.45,0.4,0,0,0,363.58,0.28,0.02,0,0.01,450.36,0.67,0.02,0,0.01,530.96,1.01,0.02,0,0.8,601.27,1.25,0,0,0,1000,0.68,0,
0.4,0,1.78,178.94,-0.48,0.01,0,1.68,157.93,-0.46,0,0,0,305.79,-0.6,0.03,0.19,0.06,488.31,-0.5,0,0,0,466.75,0.45,0.02,0.09,0.02,923.48,0.31,0,0,0,1000,-0.05,0,0,1.87,116.52,-0.18,0,0,1.76,161.22,0.06,0,0,1.59,194.41,-0.38,0,0,0,380.08,-0.12,0.02,0,1.18,372.59,0.85,0,0.09,0.03,910.33,0.65,0,0,0,1000,0.23,0,0,1.73,154.3,0.27,0,0,1.59,199.64,0.37,0,0,1.45,243.56,0.26,0,0.18,0.07,398.46,0.66,0,0.19,0.11,477.72,1,0,0,0.88,533.75,1.23,0,0,0,1000,0.67,0,
0.45,0,1.86,158.44,-0.49,0.01,0,1.77,140.09,-0.47,0,0,1.59,205.44,-0.62,0,0.21,0.02,435.37,-0.5,0,0,0.01,424.7,0.45,0.02,0.09,0.03,842.96,0.31,0,0,0,1000,-0.05,0,0,1.96,105.91,-0.2,0,0,1.86,146.03,0.03,0,0,1.68,177.64,-0.39,0,0,1.46,267.44,-0.12,0,0.18,0.01,450.63,0.84,0,0.1,0.02,834.21,0.64,0,0,0,1000,0.23,0,0,1.83,136.05,0.23,0,0,1.68,178.65,0.34,0,0,1.53,216.83,0.24,0,0,0,355.59,0.65,0.02,0.21,0.02,435.89,0.98,0,0.11,0.01,621.17,1.22,0,0,0,1000,0.66,0,
0.5,0,1.95,143.24,-0.5,0.01,0,1.85,127.88,-0.48,0,0,1.65,184.54,-0.63,0,0,0,394.56,-0.5,0.02,0.17,0.04,386.83,0.45,0,0.1,0.04,784.65,0.31,0,0,0,1000,-0.04,0,0,2.04,97.52,-0.21,0,0,1.94,134.22,0,0,0,1.75,163.99,-0.4,0,0,1.51,248.92,-0.13,0,0.19,0.22,421.15,0.82,0,0,0.01,772.96,0.63,0.01,0,0,1000,0.23,0,0,1.92,122.86,0.2,0,0,1.75,163.02,0.32,0,0,1.6,196.05,0.22,0,0,0,321.08,0.63,0.02,0,0,400.12,0.95,0.02,0,0,569.67,1.2,0.01,0,0,1000,0.65,0.01,
0.55,0,2.02,131.84,-0.5,0.01,0,1.92,118.51,-0.49,0,0,1.71,169.03,-0.64,0,0,0,363.91,-0.51,0.02,0,0,359.99,0.46,0.02,0.11,0.01,762.82,0.3,0,0,0,1000,-0.04,0.01,0,2.11,91.58,-0.22,0,0,2.02,125.58,-0.02,0,0,1.81,153.21,-0.43,0,0,1.56,234.37,-0.15,0,0,0,400.86,0.82,0.02,0,0,731.9,0.63,0.01,0,0,1000,0.23,0,0,2,112.42,0.18,0,0,1.81,151.07,0.3,0,0,1.67,181.13,0.2,0,0,0,296.28,0.61,0.03,0,0,370.2,0.92,0.02,0.13,0.03,526.11,1.18,0,0,0,1000,0.64,0.01,
0.6,0,2.08,122.42,-0.51,0.01,0,1.98,111.04,-0.5,0,0,1.76,157.07,-0.65,0,0,1.48,262.86,-0.53,0,0,0,341.31,0.46,0.02,0,0,702.03,0.32,0.01,0,0,1000,-0.04,0.01,0,2.16,86.62,-0.24,0,0,2.08,117.97,-0.04,0,0,1.85,144.44,-0.45,0,0,1.6,222.36,-0.16,0,0,0,382.97,0.81,0.02,0.12,0.02,702.46,0.62,0,0,0,1000,0.23,0,0,2.07,103.72,0.15,0,0,1.87,140.64,0.28,0,0,1.73,167.87,0.18,0,0,1.52,211.12,0.59,0,0,0,345.81,0.89,0.02,0,1.08,372.44,1.15,0,0,0,1000,0.64,0.01,
0.65,0,2.14,114.14,-0.51,0.01,0,2.02,104.96,-0.51,0.01,0,1.8,147.7,-0.65,0,0,1.51,247.05,-0.54,0,0,0,323,0.45,0.02,0.12,0.01,650.14,0.32,0,0,0,1000,-0.03,0.01,0,2.21,82.14,-0.25,0,0,2.13,111.39,-0.05,0,0,1.9,136.49,-0.46,0,0,1.65,212.06,-0.17,0,0,0,366.65,0.81,0.02,0.13,0.02,671.22,0.61,0,0,0,1000,0.22,0.01,0,2.13,96.48,0.13,0,0,1.91,132.34,0.27,0,0,1.79,157.25,0.16,0,0,1.56,197.52,0.57,0,0,0,327.99,0.87,0.03,0,0,458.4,1.13,0.02,0,0,1000,0.63,0.01,
0.7,0,2.18,107.4,-0.52,0.01,0,2.06,99.87,-0.52,0.01,0,1.83,140.29,-0.65,0,0,1.53,234.25,-0.56,0,0,0,305.82,0.45,0.02,0.12,0.04,613.27,0.3,0,0,0,1000,-0.03,0.01,0,2.26,78.61,-0.26,0.01,0,2.17,105.77,-0.08,0,0,1.95,129.94,-0.47,0,0,1.68,202.49,-0.18,0,0,0,351.75,0.79,0.02,0,0.01,636.25,0.6,0.01,0,0,1000,0.22,0.01,0,2.19,90.16,0.11,0,0,1.95,125.5,0.26,0,0,1.84,147.91,0.13,0,0,1.6,186.85,0.55,0,0,0,311.45,0.85,0.03,0,0.01,435.12,1.11,0.02,0,0,1000,0.62,0.01,
0.75,0,2.22,102.26,-0.52,0.01,0,2.09,95.35,-0.53,0.01,0,1.86,134.62,-0.67,0,0,1.56,222.91,-0.57,0,0,0,294.82,0.45,0.02,0,0.01,578.13,0.3,0.01,0,0,1000,-0.03,0.01,0,2.3,75.34,-0.29,0.01,0,2.21,101.32,-0.1,0,0,1.98,124.66,-0.49,0,0,1.71,194.95,-0.2,0,0,0,340.65,0.78,0.02,0,1.07,475.99,0.58,0,0,0,1000,0.21,0.01,0,2.24,84.83,0.09,0.01,0,1.98,119.58,0.23,0,0,1.88,140.06,0.1,0,0,1.64,177.73,0.54,0,0,1.63,227.22,0.82,0,0.17,0.04,418.47,1.09,0,0,0,1000,0.6,0.01,
0.8,0,2.26,97.53,-0.53,0.01,0,2.12,91.53,-0.54,0.01,0,1.89,129.63,-0.69,0,0,1.59,214.36,-0.59,0,0,0,285.75,0.43,0.03,0.14,0.04,553.64,0.28,0,0,0,1000,-0.04,0.01,0,2.33,72.58,-0.32,0.01,0,2.24,97.39,-0.13,0,0,2,120.74,-0.51,0,0,1.73,188.54,-0.22,0,0,0,333.62,0.76,0.02,0,0,602.66,0.56,0.01,0,0,1000,0.19,0.01,0,2.28,80.53,0.07,0.01,0,2.01,115.37,0.21,0,0,1.91,133.7,0.07,0,0,1.67,171.59,0.51,0,0,1.66,218.69,0.79,0,0.17,0.06,403.24,1.07,0,0,0,1000,0.58,0.01,
0.85,0,2.29,93.18,-0.54,0.01,0,2.16,88.01,-0.55,0.01,0,1.91,125.31,-0.69,0,0,1.61,205.73,-0.6,0,0,0,275.31,0.43,0.03,0,0.01,533.44,0.28,0.01,0,0,1000,-0.04,0.01,0,2.36,69.7,-0.34,0.01,0,2.27,93.94,-0.15,0,0,2.03,117.32,-0.53,0,0,1.75,181.64,-0.24,0,0,0,320.26,0.74,0.03,0.15,0.01,584.04,0.54,0,0,0,1000,0.19,0.01,0,2.32,76.8,0.05,0.01,0,2.03,110.88,0.19,0,0,1.94,128.16,0.06,0,0,1.7,165.38,0.5,0,0,1.68,211.09,0.78,0,0.18,0.06,390.89,1.05,0,0,0,1000,0.58,0.01,
0.9,0,2.32,89.7,-0.54,0.01,0,2.18,84.97,-0.56,0.01,0,1.93,121.44,-0.69,0,0,1.63,198.58,-0.61,0,0,0,266.99,0.42,0.03,0.14,0.01,513.75,0.26,0,0,0,1000,-0.05,0.01,0,2.39,67.11,-0.35,0.01,0,2.3,91.06,-0.16,0,0,2.05,113.27,-0.54,0,0,1.77,175.81,-0.26,0,0,1.51,236.7,0.72,0,0,0,568.23,0.53,0.01,0,0,1000,0.18,0.01,0,2.35,73.2,0.03,0.01,0,2.06,106.94,0.17,0,0,1.97,123.37,0.04,0,0,1.73,159.37,0.47,0,0,1.71,205.03,0.76,0,0,0,375.4,1.02,0.02,0,0,999.22,0.58,0.01,
0.95,0,2.35,86.79,-0.55,0.01,0,2.19,82.21,-0.58,0.01,0,1.94,117.82,-0.71,0.01,0,1.64,191.67,-0.63,0,0,0,261.77,0.41,0.03,0,0,497.84,0.25,0.02,0,0,1000,-0.05,0.01,0,2.42,64.91,-0.38,0.01,0,2.31,88.1,-0.19,0,0,2.07,110.08,-0.56,0,0,1.79,170.12,-0.28,0,0,0,303.27,0.7,0.03,0,0,545.99,0.52,0.02,0,0,1000,0.17,0.01,0,2.38,69.96,0.01,0.01,0,2.08,103.12,0.16,0,0,1.99,119.15,0.02,0,0,1.76,153.22,0.46,0,0,1.73,199.15,0.73,0,0,0,364.28,1,0.02,0.07,0.03,958.91,0.56,0,
1,0,2.37,84.1,-0.56,0.01,0,2.21,79.9,-0.59,0.01,0,1.95,114.79,-0.72,0.01,0,1.66,185.69,-0.64,0,0,0,255.98,0.4,0.03,0,0,487.13,0.25,0.02,0,0,1000,-0.05,0.01,0,2.44,62.91,-0.39,0.01,0,2.33,85.72,-0.2,0,0,2.09,107.65,-0.56,0,0,1.81,166.22,-0.3,0,0,0,297.07,0.68,0.03,0,1.15,412.56,0.51,0,0,0,1000,0.17,0.01,0,2.41,67.38,-0.01,0.01,0,2.1,100.67,0.15,0.01,0,2.01,115.59,0.01,0,0,1.78,148.93,0.44,0,0,1.75,194.47,0.71,0,0,0,355.46,0.99,0.02,0,0,933.6,0.55,0.01,
