"Time","0 cells","0 cells","0 cells","05,000 cells","05,000 cells","05,000 cells","10,000 cells","10,000 cells","10,000 cells","15,000 cells","15,000 cells","15,000 cells","20,000 cells","20,000 cells","20,000 cells","25,000 cells","25,000 cells","25,000 cells","30,000 cells","30,000 cells","30,000 cells","35,000 cells","35,000 cells","35,000 cells"
0.00208333333333333,247.710703333333,255.80952,258.898663333333,248.276036666667,259.599843333333,260.976816666667,248.349776666667,256.704116666667,259.86832,248.49384,256.754806666667,260.93735,247.93652,255.470083333333,258.568556666667,247.57511,254.993673333333,258.957606666667,247.502016666667,255.60744,259.29592,246.395406666667,256.432506666667,264.584496666667
0.10625,241.300756666667,247.749313333333,247.535853333333,246.027726666667,259.795036666667,254.236286666667,253.14791,261.048786666667,260.014323333333,259.239853333333,270.24302,266.377426666667,266.101946666667,269.237676666667,274.53493,276.580873333333,285.71791,279.078646666667,284.617423333333,302.053356666667,283.8948,294.482373333333,358.991456666667,309.522536666667
0.210416666666667,241.152653333333,247.443886666667,246.933666666667,247.02168,263.451093333333,256.066366666667,256.330256666667,266.75965,264.955433333333,263.36574,279.632366666667,273.11028,272.131463333333,278.082173333333,286.36497,285.886976666667,298.818493333333,291.9773,296.76797,324.87499,301.154896666667,309.126473333333,399.059903333333,330.41199
0.314583333333333,241.001703333333,247.195163333333,246.521676666667,248.275236666667,265.221483333333,257.641693333333,259.645146666667,270.649536666667,268.49647,267.675516666667,285.68889,279.511433333333,279.657186666667,283.964953333333,295.686383333333,295.79424,307.209516666667,302.17209,312.64479,337.46625,314.338303333333,327.805016666667,418.868246666667,347.85091
0.41875,240.845273333333,246.900493333333,246.133063333333,249.83502,267.943913333333,259.575936666667,264.475293333333,275.33683,272.98361,274.606393333333,293.062326666667,286.94243,290.86383,292.974693333333,304.643666666667,311.58648,319.459393333333,312.426803333333,333.07107,351.262556666667,330.38813,355.444433333333,436.49465,367.19577
0.522916666666667,240.671603333333,246.438223333333,245.670303333333,251.56158,270.265056666667,260.905273333333,270.6561,279.833893333333,276.93037,282.38164,300.37408,293.682113333333,303.153896666667,300.788863333333,313.594136666667,329.313333333333,331.672463333333,325.400076666667,357.22778,366.309243333333,347.26441,387.841513333333,463.521766666667,386.887166666667
0.627083333333333,240.419283333333,246.053143333333,245.296893333333,253.59567,274.551943333333,263.22797,276.770063333333,284.3445,281.748836666667,291.700496666667,307.39225,300.27891,315.22086,309.32361,324.154586666667,346.870386666667,341.55766,334.690443333333,384.845393333333,377.232893333333,364.801363333333,422.566256666667,482.323796666667,404.171553333333
0.73125,240.17734,245.604396666667,244.95419,255.66126,278.30122,264.726853333333,282.382966666667,289.664723333333,286.4518,299.824056666667,313.89461,306.802043333333,329.546066666667,316.12846,331.19402,365.610936666667,350.473536666667,344.565033333333,412.355816666667,389.663386666667,374.38548,458.33251,500.120806666667,412.03949
0.835416666666667,239.953333333333,245.31636,244.55445,257.384616666667,281.137903333333,266.192726666667,288.67983,295.130853333333,290.14477,308.671653333333,320.26772,312.248986666667,341.267036666667,323.51943,338.61155,385.764216666667,357.76721,349.671603333333,440.877103333333,404.63996,380.055856666667,482.96845,526.076226666667,419.509006666667
0.939583333333333,239.72043,244.99727,244.110306666667,259.33181,283.8816,267.24547,294.854643333333,299.671906666667,292.6203,319.722923333333,328.051143333333,316.38166,353.682156666667,328.40194,341.795736666667,403.991796666667,368.684903333333,355.085616666667,463.56742,418.65242,382.007066666667,510.875313333333,546.654383333333,424.317283333333
1.04375,239.488383333333,244.751326666667,243.821086666667,260.87692,286.647003333333,268.925143333333,300.596526666667,302.634693333333,296.034093333333,328.710383333333,332.67105,321.736436666667,367.0463,336.95901,343.354853333333,419.409526666667,380.012496666667,358.3018,484.39706,429.987863333333,386.422933333333,528.084206666667,568.877176666667,429.465193333333
1.14791666666667,239.208323333333,244.47449,243.49858,262.429356666667,290.607386666667,270.73992,304.980846666667,306.757853333333,299.71305,338.737406666667,336.726686666667,323.934386666667,379.391453333333,344.45435,346.387086666667,437.2145,385.746926666667,362.397173333333,502.877156666667,442.5379,388.42962,548.62811,601.258146666667,437.992023333333
1.25208333333333,238.939483333333,244.165146666667,243.197283333333,263.985733333333,293.849536666667,272.116416666667,312.02593,311.93925,301.768213333333,346.891676666667,342.09238,325.644813333333,389.22209,351.759593333333,349.092263333333,450.761636666667,396.017226666667,361.808223333333,518.51042,460.389763333333,389.07538,562.149096666667,624.791866666667,439.298146666667
1.35625,238.681076666667,243.86437,242.884483333333,265.898246666667,296.220076666667,273.36534,318.716373333333,315.223386666667,303.999866666667,355.31027,346.671666666667,327.686336666667,402.54332,356.896713333333,348.651323333333,461.210386666667,404.39628,365.001156666667,532.85212,477.561743333333,391.504606666667,571.865676666667,649.53279,449.87558
1.46041666666667,238.374626666667,243.59438,242.505013333333,268.2463,299.804213333333,273.930276666667,325.657146666667,319.49576,305.240016666667,365.492053333333,353.819006666667,330.505676666667,411.578846666667,366.46067,352.707003333333,471.96363,416.077243333333,371.467263333333,547.865896666667,493.536196666667,395.266993333333,592.731186666667,677.388486666667,461.22164
1.56458333333333,238.02671,243.27046,242.086403333333,269.690766666667,301.797216666667,274.95565,334.161843333333,325.054516666667,309.190003333333,375.911033333333,359.79938,333.278103333333,425.285206666667,374.52853,354.1245,487.774003333333,431.519956666667,375.666873333333,567.545246666667,517.175263333333,399.782293333333,609.096043333333,693.913556666667,474.686623333333
1.66875,237.720223333333,243.023006666667,241.784403333333,272.409173333333,305.05627,275.533106666667,341.601393333333,328.391393333333,311.37327,385.539413333333,367.412183333333,337.976716666667,438.89945,384.086836666667,364.206466666667,500.137316666667,444.457523333333,384.580463333333,592.0461,537.40319,410.70342,636.7148,707.29692,496.477866666667
1.77291666666667,237.44459,242.662673333333,241.397843333333,275.659866666667,308.11498,277.247543333333,349.772546666667,334.90269,313.89441,396.069973333333,377.67346,341.381993333333,451.042106666667,395.29947,370.98444,523.230366666667,460.17591,395.8381,610.07229,559.68677,425.463536666667,660.54627,716.492106666667,518.15832
