Well,pg/ml TNFa,pg/ml IL1b,Vehicle,HCMVEC
A10,500,,Water,80000
A11,500,,Water,80000
A12,500,,Water,80000
B10,,500,Water,80000
B11,,500,Water,80000
B12,,500,Water,80000
C10,,,Water,80000
C11,,,Water,80000
C12,,,Water,80000
E10,500,,Water,20000
E11,500,,Water,20000
E12,500,,Water,20000
F10,,500,Water,20000
F11,,500,Water,20000
F12,,500,Water,20000
G10,,,Water,20000
G11,,,Water,20000
G12,,,Water,20000
H10,,,Water,0
H11,,,Water,0
